ATC5,l_atc5,prev
G04BE01,ALPROSTADIL,0.00213338022988937
G04CA01,ALFUZOSINE,0.0161550199000839
G04CA02,TAMSULOSINE,0.0198412792946869
G04CA04,SILODOSINE,0.0122620586115566
G04CA52,TAMSULOSINE ET DUTASTERIDE,0.00201656853052433
G04CB01,FINASTERIDE,0.00254326046501555
G04CB02,DUTASTERIDE,0.00681787324457023
G04CX02,SERENOA REPENS,0.0194165548664683
H01CC01,GANIRELIX,0.00228947623383411
H02AB01,BETAMETHASONE,0.044201552141424
H02AB02,DEXAMETHASONE,0.00127736380562253
H02AB04,METHYLPREDNISOLONE,0.00640187418903025
H02AB06,PREDNISOLONE,0.175218914748516
H02AB07,PREDNISONE,0.0369744195085961
H02AB08,TRIAMCINOLONE,0.00593169569812639
H02AB09,HYDROCORTISONE,0.0025326213541957
H03AA01,LEVOTHYROXINE SODIQUE,0.0784387392534686
H03BB01,CARBIMAZOLE,0.00234606224384196
H04AA01,GLUCAGON,0.00833233919137305
J01AA02,DOXYCYCLINE,0.0140963214797561
J01AA04,LYMECYCLINE,0.00105757519062785
J01CA04,AMOXICILLINE,0.20390801823424
J01CA08,PIVMECILLINAM,0.0119511460653816
J01CF02,CLOXACILLINE,0.00206077269229133
J01CR02,AMOXICILLINE ET INHIBITEUR D'ENZYME,0.0954368212166557
J01DC02,CEFUROXIME,0.00591685733961077
J01DD04,CEFTRIAXONE,0.00878792289872487
J01DD08,CEFIXIME,0.0176029994255686
J01DD13,CEFPODOXIME,0.014139751134989
J01EE01,SULFAMETHOXAZOLE ET TRIMETHOPRIME,0.0136933362500236
J01FA02,SPIRAMYCINE,0.00311602963688712
J01FA06,ROXITHROMYCINE,0.0110315630722186
J01FA09,CLARITHROMYCINE,0.0130474642849236
J01FA10,AZITHROMYCINE,0.0627288792810558
J01FF01,CLINDAMYCINE,0.00644256650024973
J01FG01,PRISTINAMYCINE,0.0376146800992516
J01MA01,OFLOXACINE,0.0100509439350887
J01MA02,CIPROFLOXACINE,0.0138484906034659
J01MA12,LEVOFLOXACINE,0.0117240363792
J01RA04,SPIRAMYCINE EN ASSOCIATION AVEC AUTRES ANTIBACTERIENS,0.018524553255652
J01XC01,FUSIDIQUE ACIDE,0.00117078970201728
J01XE01,NITROFURANTOINE,0.00661434838185679
J01XX01,FOSFOMYCINE,0.0505197636561818
J02AA01,AMPHOTERICINE B,0.0114355293043646
J02AC01,FLUCONAZOLE,0.0126254729247404
J05AB01,ACICLOVIR,0.00401438646549714
J05AB11,VALACICLOVIR,0.0234271122263404
J05AE30,NIRMATRELVIR + RITONAVIR,0.00124334803879928
J05AH02,OSELTAMIVIR,0.00215869562772135
J05AR03,TENOFOVIR DISOPROXIL ET EMTRICITABINE,0.00143974514492241
J06BB01,IMMUNOGLOBULINE ANTI-D (rh),0.00212695351474065
J07AL01,"PNEUMOCOCCUS, ANTIGENE POLYSACCHARIDIQUE PURIFIE",0.00922048564870093
J07AL02,"PNEUMOCOCCUS, ANTIGENE POLYSACCHARIDIQUE PURIFIE CONJUGUE",0.0177568853841183
J07BB02,"GRIPPE, VIRUS FRACTIONNE INACTIVE OU ANTIGENE PURIFIE",0.244786906744063
J07BC01,"HEPATITE B, ANTIGENE PURIFIE",0.00392377547391018
J07BC02,"HEPATITE A, VIRUS ENTIER INACTIVE",0.00251615533552765
J07BD52,"ROUGEOLE EN ASSOCIATION AVEC OREILLONS ET RUBEOLE, VIRUS VIVANTS ATTENUES",0.00113549011190215
J07BM03,"PAPILLOMAVIRUS TYPES HUMAINS 6, 11, 16, 18, 31, 33, 45, 52, 58",0.0011873207630336
J07BX05,VACCINS CONTRE LE VIRUS RESPIRATOIRE SYNCYTIAL,0.00104232209697931
J07CA01,DIPHTERIE-POLYOMIELITE-TETANOS,0.00828887012569397
J07CA02,DIPHTERIE-COQUELUCHE-POLIOMYELITE-TETANOS,0.069895079318255
L01BA01,METHOTREXATE,0.00427851251324992
L01BC02,FLUOROURACILE,0.00475726898166562
L01XD03,METHYLE AMINOLEVULINATE,0.00113569758720869
L01XX05,HYDROXYCARBAMIDE,0.00134809023910101
L02AE02,LEUPRORELINE,0.00136135945736488
L02AE04,TRIPTORELINE,0.00347967740894387
L02BA01,TAMOXIFENE,0.00113898831913419
L02BG03,ANASTROZOLE,0.00198724926382987
L02BG04,LETROZOLE,0.00390039263191407
L02BG06,EXEMESTANE,0.00113046857791721
L03AA02,FILGRASTIM,0.00185030782187811
L03AA13,PEGFILGRASTIM,0.00181841349470119
L04AA06,MYCOPHENOLIQUE ACIDE,0.001395415419425
L04AB04,ADALIMUMAB,0.00179847825926418
L04AD02,TACROLIMUS,0.00112313828646089
L04AX03,METHOTREXATE,0.00423594554541023
M01AB05,DICLOFENAC,0.0385491583808353
M01AB16,ACECLOFENAC,0.0040488758723102
M01AC01,PIROXICAM,0.0125977619799653
M01AC02,TENOXICAM,0.00105483436832733
M01AC06,MELOXICAM,0.00252572422648892
M01AE01,IBUPROFENE,0.109769418393516
M01AE02,NAPROXENE,0.0505682849693894
M01AE03,KETOPROFENE,0.122401264386301
M01AE09,FLURBIPROFENE,0.0139076610082122
M01AE11,TIAPROFENIQUE ACIDE,0.0087051446830016
M01AG01,MEFENAMIQUE ACIDE,0.00104339162424338
M01AH01,CELECOXIB,0.00964182796098407
M01AH05,ETORICOXIB,0.00354741309813665
M01AX01,NABUMETONE,0.0034841957228564
M01AX02,NIFLUMIQUE ACIDE,0.00282769791985841
M02AA13,IBUPROFENE,0.0448440468911854
M02AA15,DICLOFENAC,0.131076826662725
M02AA17,NIFLUMIQUE ACIDE,0.0070593282790236
M03BX01,BACLOFENE,0.00315664442324582
M04AA01,ALLOPURINOL,0.0239357050656601
M04AA03,FEBUXOSTAT,0.00847678522174345
M04AC01,COLCHICINE,0.0145382252201333
M05BA04,ALENDRONIQUE ACIDE,0.00238468883582798
M05BA07,RISEDRONIQUE ACIDE,0.00665298259806161
M05BA08,ZOLEDRONIQUE ACIDE,0.00307830888892053
M05BB03,ALENDRONIQUE ACIDE ET COLECALCIFEROL,0.00227938165147546
M05BX04,DENOSUMAB,0.00315032260225478
M09AX,AUTRES MEDICAMENTS DES DESORDRES MUSCULO-SQUELETTIQUES,0.00200189519352083
N01BB02,LIDOCAINE,0.0401315969788133
N01BB52,LIDOCAINE EN ASSOCIATION,0.0239173882433504
N02AA01,MORPHINE,0.0111216205204005
N02AA05,OXYCODONE,0.00641321995778593
N02AB03,FENTANYL,0.00509410424541625
N02AJ06,CODEINE + PARACETAMOL,0.078478458702044
N02AJ08,CODEINE + IBUPROFENE,0.00106708544206751
N02AJ13,TRAMADOL + PARACETAMOL,0.0331323474783982
N02AX02,TRAMADOL,0.0593994751489291
N02BA01,ACETYLSALICYLIQUE ACIDE,0.00919190841329893
N02BE01,PARACETAMOL,0.624618586128518
N02BE51,PARACETAMOL EN ASSOCIATION SAUF PSYCHOLEPTIQUES,0.00674174421728276
N02BE71,PARACETAMOL EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES,0.0865456293796829
N02BF01,GABAPENTINE,0.0122016893855142
N02BF02,PREGABALINE,0.0163901469802594
N02BG06,NEFOPAM,0.0329270400489451
N02CC01,SUMATRIPTAN,0.00171279523918058
N02CC03,ZOLMITRIPTAN,0.00680315109992809
N02CC04,RIZATRIPTAN,0.00121408213783016
N02CC05,ALMOTRIPTAN,0.00167461191891879
N02CC06,ELETRIPTAN,0.00389438033831004
N03AA02,PHENOBARBITAL,0.00103820121101658
N03AE01,CLONAZEPAM,0.00163963759630531
N03AF01,CARBAMAZEPINE,0.00255895800373785
N03AG01,VALPROIQUE ACIDE,0.00485204945343469
N03AG02,VALPROMIDE,0.00124603889754747
N03AX09,LAMOTRIGINE,0.00570009880910105
N03AX11,TOPIRAMATE,0.00120165357269472
N03AX14,LEVETIRACETAM,0.00425512818781351
N03AX18,LACOSAMIDE,0.00124976866285902
N04AA01,TRIHEXYPHENIDYL,0.00139843702563142
N04AA12,TROPATEPINE,0.00231959590688006
N04BA02,LEVODOPA ET INHIBITEUR DE LA DECARBOXYLASE,0.00597037646707536
N04BC04,ROPINIROLE,0.00108523449460865
N04BC05,PRAMIPEXOLE,0.00332309034746472
N04BD02,RASAGILINE,0.00101339175244852
N05AA06,CYAMEMAZINE,0.00622583305494988
N05AD01,HALOPERIDOL,0.00215901908323347
N05AH01,LOXAPINE,0.00252886159313341
N05AH03,OLANZAPINE,0.00367890047398332
N05AH04,QUETIAPINE,0.00445887496313867
N05AL03,TIAPRIDE,0.00118084306256451
N05AL05,AMISULPRIDE,0.00115863209186073
N05AN01,LITHIUM,0.00186378037761045
N05AX08,RISPERIDONE,0.00742003685491169
N05AX12,ARIPIPRAZOLE,0.00404028353770665
N05BA01,DIAZEPAM,0.017985954874525
N05BA04,OXAZEPAM,0.0425295114650413
N05BA05,CLORAZEPATE POTASSIQUE,0.0019516777605353
N05BA06,LORAZEPAM,0.0116830645393002
N05BA08,BROMAZEPAM,0.0307422347746907
N05BA09,CLOBAZAM,0.00215717338467947
N05BA11,PRAZEPAM,0.0115194578898469
N05BA12,ALPRAZOLAM,0.0561665800871713
N05BA21,CLOTIAZEPAM,0.00358311334561143
N05BB01,HYDROXYZINE,0.0244584840535662
N05BE01,BUSPIRONE,0.00121909442349655
N05CD06,LORMETAZEPAM,0.0104966169503096
N05CD11,LOPRAZOLAM,0.00240648455612565
N05CF01,ZOPICLONE,0.0370053175361877
N05CF02,ZOLPIDEM,0.012539855057615
N05CJ03,DARIDOREXANT,0.00162384461218023
N06AA04,CLOMIPRAMINE,0.00246412548147866
N06AA09,AMITRIPTYLINE,0.0158611528350477
N06AB03,FLUOXETINE,0.0127898530198007
N06AB04,CITALOPRAM,0.00309660874830929
N06AB05,PAROXETINE,0.0251815594564615
N06AB06,SERTRALINE,0.0140658520840862
N06AB10,ESCITALOPRAM,0.0244618581971541
N06AX03,MIANSERINE,0.0133756679661503
N06AX11,MIRTAZAPINE,0.0115422531981267
N06AX16,VENLAFAXINE,0.0189452818920157
N06AX21,DULOXETINE,0.00874196498338234
N06AX26,VORTIOXETINE,0.00625786959515195
N06BA04,METHYLPHENIDATE,0.00118378486194441
N07BA01,NICOTINE,0.0213411772603005
N07BB03,ACAMPROSATE,0.00145294803899989
N07BC01,BUPRENORPHINE,0.00129201001436116
N07BC02,METHADONE,0.00110912267761401
N07CA01,BETAHISTINE,0.0106467318487662
N07CA04,ACETYLLEUCINE,0.0259612890685665
P01AB01,METRONIDAZOLE,0.0203447796399787
P01AB07,SECNIDAZOLE,0.00402638317962103
P02CA03,ALBENDAZOLE,0.00189188508005907
P02CA05,FLUBENDAZOLE,0.00376049644317096
P02CF01,IVERMECTINE,0.00506992393026573
P03AX01,BENZOATE DE BENZYLE,0.00154445182625836
R01AA05,OXYMETAZOLINE,0.0153560682092687
R01AC03,AZELASTINE,0.00493055769116888
R01AD01,BECLOMETASONE,0.0593687997494104
R01AD05,BUDESONIDE,0.00980896822458876
R01AD07,TIXOCORTOL,0.0744132491961418
R01AD09,MOMETASONE,0.0388848535103954
R01AD11,TRIAMCINOLONE,0.00877050370488887
R01AD12,FLUTICASONE FUROATE,0.00668661782416266
R01AD58,"DECONGESTIONNANTS ET AUTRES PREPARATIONS NASALES, CORTICOSTEROIDES EN ASSOCIATION",0.0236124309585236
R01AD59,MOMETASONE EN ASSOCIATION,0.0112463069069964
R01AX03,IPRATROPIUM BROMURE,0.00163899327673563
R01AX06,MUPIROCINE,0.00138732872820377
R03AC02,SALBUTAMOL,0.0757556424504984
R03AC03,TERBUTALINE,0.00569257223739382
R03AC13,FORMOTEROL,0.00242440445931211
R03AC18,INDACATEROL,0.00136453148926897
R03AK06,SALMETEROL ET FLUTICASONE,0.0206618039028044
R03AK07,FORMOTEROL ET BUDESONIDE,0.0267836803876518
R03AK08,FORMOTEROL ET BECLOMETASONE,0.0200007210866126
R03AK10,VILANTEROL ET FLUTICASONE FUROATE,0.0175446742739869
R03AL01,FENOTEROL ET BROMURE D'IPRATROPIUM,0.00411639693497021
R03AL03,"VILANTEROL, UMECLIDINIUM BROMURE",0.00489932261680886
R03AL04,INDACATEROL ET BROMURE DE GLYCOPYRRONIUM,0.00330814458252771
R03AL08,VILANTEROL + UMECLIDINIUM + FLUTICASONE,0.00451692465267571
R03AL09,FORMOTEROL + GLYCOPYRRONIUM BROMURE + BECLOMETASONE,0.00354577463331564
R03AL11,FORMOTEROL + GLYCOPYRRONIUM BROMURE + BUDESONIDE,0.00113951743057679
R03BA01,BECLOMETASONE,0.0127675255489772
R03BA02,BUDESONIDE,0.0109367533623578
R03BA05,FLUTICASONE,0.0108814008522264
R03BB01,IPRATROPIUM BROMURE,0.00472042121236054
R03BB04,TIOTROPIUM BROMURE,0.00680482523839553
R03BB07,UMECLIDINIUM BROMURE,0.0020820369770656
R03BB54,TIOTROPIUM BROMURE EN ASSOCIATION,0.0013620472843524
R03DC03,MONTELUKAST,0.0119092635783494
R05CB,MUCOLYTIQUES,0.0740579071334213
R05DA04,CODEINE,0.0029610307934468
R05DA09,DEXTROMETHORPHANE,0.0499521887585763
R05DA20,ASSOCIATIONS ANTITUSSIVES,0.0176909623684465
R06AD01,ALIMEMAZINE,0.0066592133234326
R06AD08,OXOMEMAZINE,0.0371141380297504
R06AE07,CETIRIZINE,0.0313399807203045
R06AE09,LEVOCETIRIZINE,0.0154886303225254
R06AX13,LORATADINE,0.0036473461116005
R06AX22,EBASTINE,0.0217309969343577
R06AX25,MIZOLASTINE,0.00115713637662496
R06AX26,FEXOFENADINE,0.00324353340592994
R06AX27,DESLORATADINE,0.0917721069868852
R06AX28,RUPATADINE,0.00262072878476082
R06AX29,BILASTINE,0.0364984093398798
S01AA12,TOBRAMYCINE,0.0138207761790947
S01AA13,FUSIDIQUE ACIDE,0.00180900247456733
S01AA16,RIFAMYCINE,0.00348381120245186
S01AA26,AZITHROMYCINE,0.0198448906207162
S01AE01,OFLOXACINE,0.00305583462903019
S01AE03,CIPROFLOXACINE,0.00279359401283215
